"siteID","monthyear","sitemonthyear","plotID","latitude","longitude","easting","northing"
"UNDE","2020-07","UNDE2020-07","UNDE_008","46.256193","-89.515052","306157.117","5125587.433"
"UNDE","2020-07","UNDE2020-07","UNDE_003","46.256247","-89.53609","304535.924","5125645.137"
"UNDE","2020-07","UNDE2020-07","UNDE_010","46.237778","-89.541857","304025.627","5123607.306"
"UNDE","2020-07","UNDE2020-07","UNDE_006","46.254613","-89.512657","306336.136","5125406.136"
"UNDE","2020-07","UNDE2020-07","UNDE_017","46.23796","-89.496339","307535.58","5123516.111"
"UNDE","2020-07","UNDE2020-07","UNDE_011","46.215104","-89.505026","306785.59","5120997.688"
"UNDE","2020-07","UNDE2020-07","UNDE_007","46.248716","-89.53615","304504.505","5124808.521"
"UNDE","2020-07","UNDE2020-07","UNDE_012","46.236979","-89.504463","306905.787","5123426.872"
"WREF","2018-07","WREF2018-07","WREF_027","45.818946","-121.976","579548.835","5074441.325"
"WREF","2018-07","WREF2018-07","WREF_008","45.823595","-121.973495","579736.79","5074960.327"
"WREF","2018-07","WREF2018-07","WREF_070","45.824185","-121.955555","581129.436","5075043.871"
"WREF","2018-07","WREF2018-07","WREF_001","45.844033","-121.999068","577721.867","5077205.832"
"WREF","2018-07","WREF2018-07","WREF_026","45.842751","-122.00835","577002.85","5077054.397"
"WREF","2018-07","WREF2018-07","WREF_004","45.822941","-121.998707","577779.271","5074862.742"
"WREF","2018-07","WREF2018-07","WREF_020","45.830006","-121.859917","588549.05","5075792.185"
"WREF","2018-07","WREF2018-07","WREF_012","45.840576","-121.863912","588222.07","5076962.127"
"WREF","2018-07","WREF2018-07","WREF_013","45.835857","-122.018935","576190.379","5076278.315"
"WREF","2018-07","WREF2018-07","WREF_022","45.8404","-122.017276","576312.967","5076784.597"
"WREF","2018-07","WREF2018-07","WREF_015","45.826107","-122.017923","576282.261","5075195.952"
"WREF","2018-07","WREF2018-07","WREF_071","45.829046","-121.958541","580890.424","5075580.972"
"WREF","2018-07","WREF2018-07","WREF_072","45.824274","-121.966341","580291.499","5075042.866"
"WREF","2018-07","WREF2018-07","WREF_007","45.850153","-121.989672","578442.817","5077894.974"
"WREF","2018-07","WREF2018-07","WREF_014","45.849932","-121.99427","578086.15","5077865.937"
"WREF","2018-07","WREF2018-07","WREF_019","45.819757","-121.968998","580091.599","5074538.407"
"WREF","2018-07","WREF2018-07","WREF_002","45.811294","-121.990796","578410.097","5073576.464"
"WREF","2018-07","WREF2018-07","WREF_003","45.831516","-122.018608","576221.694","5075796.245"
"WREF","2018-07","WREF2018-07","WREF_028","45.812568","-121.981882","579100.868","5073726.879"
"WREF","2018-07","WREF2018-07","WREF_005","45.844315","-122.002564","577449.972","5077233.776"
"WREF","2018-07","WREF2018-07","WREF_024","45.849144","-121.996649","577902.55","5077776.057"
"WREF","2018-07","WREF2018-07","WREF_029","45.846411","-121.829411","590891.734","5077649.175"
"WREF","2018-07","WREF2018-07","WREF_006","45.83118","-121.813904","592120.864","5075974.71"
"WREF","2018-07","WREF2018-07","WREF_018","45.828445","-122.011717","576761.09","5075461.702"
"WREF","2018-07","WREF2018-07","WREF_021","45.844382","-121.978569","579313.059","5077264.708"
"WREF","2018-07","WREF2018-07","WREF_030","45.838687","-122.004959","577271.846","5076606.142"
