"siteID","monthyear","sitemonthyear","plotID","easting","northing","mean.max.canopy.ht.aop","max.canopy.ht.aop","rumple.aop","deepgaps.aop","deepgap.fraction.aop","cover.fraction.aop","top.rugosity.aop","vert.sd.aop","sd.sd.aop","entropy.aop","GFP.AOP.aop","VAI.AOP.aop","VCI.AOP.aop"
"TALL","2016-05","TALL2016-05","TALL_021","461908.337","3645830.764","17.1637418944692","33.793","3.77476531362678","108","0.0642474717430101","0.93575252825699","7.71043279698356","18.997561811737","4.99907787322517","0.826344411138329","0.926708267139518","13.9984451731336","0.486866141146597"
"TALL","2016-05","TALL2016-05","TALL_017","461785.879","3641390.264","16.8092795969773","35.965","3.33113227622724","93","0.0553242117787032","0.944675788221297","10.6047191720001","10.1453635787006","3.10040706022182","0.723892898490332","0.877497483824031","11.9792464605653",NA
"TALL","2016-05","TALL2016-05","TALL_030","462295.036","3646313.792","24.1345044080605","56.562","3.91874246078166","93","0.0553242117787032","0.944675788221297","7.86757888059119","12.2783400377054","4.5265295699056","0.773883927621229","0.90840181384607","11.5512952762713","0.482843194829331"
"TALL","2016-05","TALL2016-05","TALL_007","460105.357","3648532.707","18.2970763358779","26.942","2.47943909448284","109","0.0648423557406306","0.935157644259369","4.29115292789319","10.2102235753046","3.19403184218814","0.766489555912671","0.891330500438454","9.11108288292283","0.668032222171261"
"TALL","2016-05","TALL2016-05","TALL_020","460107.345","3646488.98","14.502131826742","29.212","5.51609998479492","88","0.0523497917906008","0.947650208209399","10.1272239091336","12.0929227599825","4.2694442071824","0.74159526305031","0.899359408819832","11.6671504313398",NA
"TALL","2016-05","TALL2016-05","TALL_044","462837.441","3646132.118","12.7758610062893","20.286","2.84073260697508","91","0.0541344437834622","0.945865556216538","4.89760499670654","8.53686376632204","3.79656881256885","0.694739060843902","0.870409964171125","10.6334642699832",NA
"TALL","2016-05","TALL2016-05","TALL_001","459568.133","3648893.935","24.054286252354","35.587","3.4301156753776","88","0.0523497917906008","0.947650208209399","6.90483349328702","12.1644470655733","4.68880760371023","0.76889992625519","0.89757583224225","13.5355327945559","0.391369838776906"
"UNDE","2016-08","UNDE2016-08","UNDE_016","305316.861","5124477.201","11.6607915881984","23.622","3.80888286681004","88","0.0523497917906008","0.947650208209399","6.72002903624639","7.53297708880725","1.59080896493709","0.522845987146193","0.83991660454138","24.985260672203",NA
"UNDE","2016-08","UNDE2016-08","UNDE_043","303966.647","5123216.502","20.7761368015414","25.435","2.16839851610075","124","0.0737656157049375","0.926234384295062","3.19510985845916","8.47208288801646","3.70270626562425","0.535442522068803","0.841919833889204","12.7764174045935",NA
"UNDE","2016-08","UNDE2016-08","UNDE_015","306728.11","5122793.872","15.5969072100313","23.069","3.20818450057576","86","0.0511600237953599","0.94883997620464","3.82331325207667","6.22431771252057","3.39119357140687","0.495391199825013","0.82613837456096","21.5333561908271",NA
