Record_number,Ref,Study_number,Country,Region,City,Site_name,Lat,Long,K_ppen_CC,Vegetation,Species,Family,Growth_habit,Senesced_sample_method,MAT,TAP,Elevation,C_green_leaf,C_senesced_leaf,N_green_leaf,N_senesced_leaf,P_green_leaf,P_senesced_leaf,K_green_leaf,K_senesced_leaf,Ca_green_leaf,Ca_senesced_leaf,Mg_green_leaf,Mg_senesced_leaf,Spec_area_green_leaf,Spec_area_senesced_leaf,Area_green_leaf,Area_senesced_leaf,Mass_green_leaf,Mass_senesced_leaf,Leaf_loss,Leaf_shrink
225,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Akebia trifoliata,Lardizabalaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,1.81,1.12,0.09,0.05,,,,,,,149,161.7,30,25.5,447,412.3,8,15.2
226,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Artabotrys hongkongensis,Annonaceae,Tree (evergreen) Liana,Picked from the plant,20.5,1380,1400,,,2.36,1.77,0.12,0.12,,,,,,,76.1,61.5,31.8,24.8,242,152.5,36.9,21.9
227,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Craspedolobium schochii,N-fixer Fabaceae,Tree (evergreen) Liana,Picked from the plant,20.5,1380,1400,,,2.15,1.55,0.13,0.07,,,,,,,96.4,85.2,68.2,63.5,657.4,541,17.7,6.9
228,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Gnetum pendulum,Gnetaceae,Tree (evergreen) Liana,Picked from the plant,20.5,1380,1400,,,3.11,2.71,0.14,0.08,,,,,,,110.3,89.5,54.8,51.3,604.4,459.1,24,6.4
229,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Melodinus henryi,Apocynaceae,Tree (evergreen) Liana,Picked from the plant,20.5,1380,1400,,,2.28,1.24,0.19,0.09,,,,,,,107.1,93,35.6,31.3,381.3,291.1,23.7,12.1
230,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Melodinus suaveolens,Apocynaceae,Tree (evergreen) Liana,Picked from the plant,20.5,1380,1400,,,2.69,1.88,0.13,0.09,,,,,,,91.6,81.3,32.3,25.8,295.9,209.8,29.2,20.3
231,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Millettia pachycarpa,N-fixer Fabaceae,Tree (evergreen),Picked from the plant,20.5,1380,1400,,,3.36,2.04,0.12,0.08,,,,,,,101.5,91.3,41.5,37.2,421.2,339.6,19.1,10.2
232,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Smilax corbularia,Smilacaceae,Tree (evergreen) Liana,Picked from the plant,20.5,1380,1400,,,1.58,1.02,0.15,0.08,,,,,,,100.2,87.6,62.1,53.2,622.2,466,25.1,14.3
233,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Smilax hypoglauca,Smilacaceae,Tree (evergreen) Liana,Picked from the plant,20.5,1380,1400,,,1.96,1.16,0.09,0.05,,,,,,,63.2,60.1,15.2,15,96.1,90.2,6.1,1.3
234,Cai & Bongers (2007),6,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,A,Tropical Montane Rain Forest,Smilax microphylla,Smilacaceae,Tree (evergreen) Liana,Picked from the plant,20.5,1380,1400,,,2.29,1.62,0.1,0.07,,,,,,,87.6,73.5,69.5,61.6,608.8,452.8,25.7,11.4
