Record_number,Ref,Study_number,Country,Region,City,Site_name,Lat,Long,K_ppen_CC,Vegetation,Species,Family,Growth_habit,Senesced_sample_method,MAT,TAP,Elevation,C_green_leaf,C_senesced_leaf,N_green_leaf,N_senesced_leaf,P_green_leaf,P_senesced_leaf,K_green_leaf,K_senesced_leaf,Ca_green_leaf,Ca_senesced_leaf,Mg_green_leaf,Mg_senesced_leaf,Spec_area_green_leaf,Spec_area_senesced_leaf,Area_green_leaf,Area_senesced_leaf,Mass_green_leaf,Mass_senesced_leaf,Leaf_loss,Leaf_shrink
887,Weerakkody & Parkinson (2006),77,Sri Lanka,Nuwara Eliya,Hakgala Botanical Garden,,6.9,80.8,A,Montane rainforest,Acronychia pedunculata,Rutaceae,Tree (evergreen),freshly fallen,16,2013,1750,46,45.6,2.3,1.9,0.12,0.08,,,,,,,,,,,,,,
888,Weerakkody & Parkinson (2006),77,Sri Lanka,Nuwara Eliya,Hakgala Botanical Garden,,6.9,80.8,A,Montane rainforest,Actinodaphnae speciosa,Lauraceae,Tree (evergreen),freshly fallen,16,2013,1750,54.6,53.9,1.4,1.1,0.06,0.06,,,,,,,,,,,,,,
889,Weerakkody & Parkinson (2006),77,Sri Lanka,Nuwara Eliya,Hakgala Botanical Garden,,6.9,80.8,A,Montane rainforest,Cestrum aurantiacum,Rutaceae,Tree (evergreen),freshly fallen,16,2013,1750,42.9,40,3.3,1.6,0.18,0.13,,,,,,,,,,,,,,
890,Weerakkody & Parkinson (2006),77,Sri Lanka,Nuwara Eliya,Hakgala Botanical Garden,,6.9,80.8,A,Montane rainforest,Meliosma wightii,Sabiaceae,Tree (evergreen),freshly fallen,16,2013,1750,46.4,49.7,1.6,0.7,0.11,0.03,,,,,,,,,,,,,,
891,Weerakkody & Parkinson (2006),77,Sri Lanka,Nuwara Eliya,Hakgala Botanical Garden,,6.9,80.8,A,Montane rainforest,Michelia nilagirica,Magnoliaceae ,Tree (evergreen),freshly fallen,16,2013,1750,42,45,2.1,1.8,0.09,0.05,,,,,,,,,,,,,,
892,Weerakkody & Parkinson (2006),77,Sri Lanka,Nuwara Eliya,Hakgala Botanical Garden,,6.9,80.8,A,Montane rainforest,Semecarpus coriacea,Anacardiaceae,Tree (deciduous),freshly fallen,16,2013,1750,48,48,1.6,1.6,0.1,0.1,,,,,,,,,,,,,,
893,Weerakkody & Parkinson (2006),77,Sri Lanka,Nuwara Eliya,Hakgala Botanical Garden,,6.9,80.8,A,Montane rainforest,Symplocos cochinchinencis,Symplocaceae,Tree (evergreen),freshly fallen,16,2013,1750,40,51.6,1.6,1.2,0.08,0.04,,,,,,,,,,,,,,
894,Weerakkody & Parkinson (2006),77,Sri Lanka,Nuwara Eliya,Hakgala Botanical Garden,,6.9,80.8,A,Montane rainforest,Symplocos major,Symplocaceae,Tree (evergreen),freshly fallen,16,2013,1750,43.5,41.6,1.5,1.3,0.05,0.05,,,,,,,,,,,,,,
185,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Broad-leaved evergreen forest,Castanopsis fargesii,Fagaceae,Tree (evergreen),Litterfall,16.2,1375,50,43.8,46.2,1.39,0.9,0.07,0.06,,,,,,,,,,,,,,
186,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Broad-leaved evergreen forest,Tricalysia dubia,Rubiaceae,Tree (evergreen),Litterfall,16.2,1375,50,44.2,39.7,1.76,0.49,0.09,0.04,,,,,,,,,,,,,,
187,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Broad-leaved evergreen forest,Litsea elongata,Lauraceae,Tree (evergreen),Litterfall,16.2,1375,50,48.6,46.4,1.15,0.43,0.07,0.05,,,,,,,,,,,,,,
188,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Broad-leaved evergreen forest,Camellia fraterna,Theaceae,Tree (evergreen),Litterfall,16.2,1375,50,41.9,42.4,1.04,0.49,0.05,0.04,,,,,,,,,,,,,,
189,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Broad-leaved evergreen forest,Cinnamomum japonicum,Lauraceae,Tree (evergreen),Litterfall,16.2,1375,50,49.1,47.2,1.21,0.5,0.07,0.05,,,,,,,,,,,,,,
190,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Broad-leaved evergreen forest,Daphniphyllum macropodum,Daphniphylaceae,Tree (evergreen),Litterfall,16.2,1375,50,41.8,39.2,1.26,0.62,0.06,0.04,,,,,,,,,,,,,,
191,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Broad-leaved evergreen forest,Meliosma regida,Sabiaceae,Tree (evergreen),Litterfall,16.2,1375,50,43.2,39.7,0.94,0.49,0.07,0.05,,,,,,,,,,,,,,
192,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Broad-leaved evergreen forest,Schima superba,Theaceae,Tree (evergreen),Litterfall,16.2,1375,50,49.7,44.9,0.97,0.77,0.06,0.05,,,,,,,,,,,,,,
193,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Coniferous evergreen forest,Pinus massoniana,Pinaceae,Conifers,Litterfall,16.2,1375,50,42.4,50.4,1.13,0.54,0.11,0.06,,,,,,,,,,,,,,
194,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Coniferous evergreen forest,Castanopsis fargesii,Fagaceae,Tree (evergreen),Litterfall,16.2,1375,50,39.3,45.7,1.25,0.87,0.08,0.07,,,,,,,,,,,,,,
195,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Coniferous evergreen forest,Cyclobalanopsis gilva,Fagaceae,Tree (evergreen),Litterfall,16.2,1375,50,35.5,46.6,1.46,1.04,0.09,0.07,,,,,,,,,,,,,,
196,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Coniferous evergreen forest,Eurya rubiginosa,Theaceae,Tree (evergreen),Litterfall,16.2,1375,50,36,42.3,1.1,0.72,0.07,0.05,,,,,,,,,,,,,,
197,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Coniferous evergreen forest,Schima superba,Theaceae,Tree (evergreen),Litterfall,16.2,1375,50,45.9,46.6,0.91,0.66,0.06,0.05,,,,,,,,,,,,,,
198,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Coniferous evergreen forest,Loropetalum chinese,Hamamelidaceae,Tree (evergreen),Litterfall,16.2,1375,50,44.2,40.2,1.16,0.85,0.08,0.07,,,,,,,,,,,,,,
199,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Deciduous broad-leaved forests,Liquidambar formosana,Altingiaceae,Tree (deciduous),Litterfall,16.2,1375,50,43.4,37.9,1.85,1.33,0.14,0.1,,,,,,,,,,,,,,
200,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Deciduous broad-leaved forests,Platycarya strobilacea,Juglandaceae,Tree (deciduous),Litterfall,16.2,1375,50,43.6,35.5,1.67,1.54,0.18,0.12,,,,,,,,,,,,,,
201,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Deciduous broad-leaved forests,Quercus fabri,Fagaceae,Tree (deciduous),Litterfall,16.2,1375,50,43.9,39.6,1.73,1.25,0.17,0.1,,,,,,,,,,,,,,
202,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Deciduous broad-leaved forests,Phyllanthus glaucus,Euphorbiaceae,Tree (deciduous),Litterfall,16.2,1375,50,39.5,40.1,2.35,1.41,0.21,0.09,,,,,,,,,,,,,,
203,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Deciduous broad-leaved forests,Ficus erecta,Moraceae,Tree (deciduous),Litterfall,16.2,1375,50,36.6,39.2,1.83,1.38,0.13,0.09,,,,,,,,,,,,,,
204,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Deciduous broad-leaved forests,Indocalamus tessellates,Poaceae,Graminoid,Litterfall,16.2,1375,50,41.4,33.3,1.56,1.32,0.18,0.09,,,,,,,,,,,,,,
205,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Deciduous broad-leaved forests,Choerospondias axillaris,Anacardiaceae,Tree (deciduous),Litterfall,16.2,1375,50,36.3,44,1.44,0.79,0.18,0.05,,,,,,,,,,,,,,
206,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Deciduous broad-leaved forests,Lithocarpus harlandii,Fagaceae,Tree (evergreen),Litterfall,16.2,1375,50,40,46.9,1.15,0.84,0.14,0.05,,,,,,,,,,,,,,
207,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Deciduous broad-leaved forests,Illicium lanceolatum,Illiciaceae,Tree (evergreen),Litterfall,16.2,1375,50,38.5,45.6,0.83,0.76,0.09,0.05,,,,,,,,,,,,,,
208,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Deciduous broad-leaved forests,Phoebe sheareri,Lauraceae,Tree (evergreen),Litterfall,16.2,1375,50,39.7,38.7,1.43,0.88,0.1,0.06,,,,,,,,,,,,,,
209,Yan et al. (2010),78,China,Zhejiang Province,,Tiantong National Forest Park,29.9,121.7,C,Deciduous broad-leaved forests,Litsea elongata,Lauraceae,Tree (evergreen),Litterfall,16.2,1375,50,37.6,45.9,1.16,0.66,0.08,0.06,,,,,,,,,,,,,,
895,Yasumura et al. (2005),79,Japan,Hakkoda Mountains,Aomori Prefecture,Adult tree - Uppermost,40.6,140.9,C,,Fagus crenata,Fagaceae,Tree (deciduous),,4.5,1500,800,,,2.14,0.76,,,,,,,,,82,62.7,,,,,,
896,Yasumura et al. (2005),79,Japan,Hakkoda Mountains,Aomori Prefecture,Adult tree - Upper,40.6,140.9,C,,Fagus crenata,Fagaceae,Tree (deciduous),,4.5,1500,800,,,2.28,0.83,,,,,,,,,54.9,40.3,,,,,,
897,Yasumura et al. (2005),79,Japan,Hakkoda Mountains,Aomori Prefecture,Adult tree - Middle,40.6,140.9,C,,Fagus crenata,Fagaceae,Tree (deciduous),,4.5,1500,800,,,2.34,0.84,,,,,,,,,44.1,31.5,,,,,,
898,Yasumura et al. (2005),79,Japan,Hakkoda Mountains,Aomori Prefecture,Adult tree - Lower,40.6,140.9,C,,Fagus crenata,Fagaceae,Tree (deciduous),,4.5,1500,800,,,2.29,0.9,,,,,,,,,40.1,33.9,,,,,,
899,Yasumura et al. (2005),79,Japan,Hakkoda Mountains,Aomori Prefecture,Adult tree - Lowest,40.6,140.9,C,,Fagus crenata,Fagaceae,Tree (deciduous),,4.5,1500,800,,,2.36,0.87,,,,,,,,,32.8,24,,,,,,
900,Yasumura et al. (2005),79,Japan,Hakkoda Mountains,Aomori Prefecture,Juvenile tree - Sun,40.6,140.9,C,,Fagus crenata,Fagaceae,Tree (deciduous),,4.5,1500,800,,,2.06,1.23,,,,,,,,,54.8,53.8,,,,,,
901,Yasumura et al. (2005),79,Japan,Hakkoda Mountains,Aomori Prefecture,Juvenile tree - Shade,40.6,140.9,C,,Fagus crenata,Fagaceae,Tree (deciduous),,4.5,1500,800,,,2.64,1.26,,,,,,,,,19.5,17.8,,,,,,
902,Yasumura et al. (2005),79,Japan,Hakkoda Mountains,Aomori Prefecture,Sun,40.6,140.9,C,,Lindera umbellata,Lauraceae,Tree (deciduous),,4.5,1500,800,,,2.32,0.98,,,,,,,,,51.4,31.2,,,,,,
903,Yasumura et al. (2005),79,Japan,Hakkoda Mountains,Aomori Prefecture,Shade,40.6,140.9,C,,Lindera umbellata,Lauraceae,Tree (deciduous),,4.5,1500,800,,,3.11,1.3,,,,,,,,,21.1,14.6,,,,,,
904,Yasumura et al. (2005),79,Japan,Hakkoda Mountains,Aomori Prefecture,Sun,40.6,140.9,C,,Magnolia salicifolia,Magnoliaceae,Tree (deciduous),,4.5,1500,800,,,2.32,1.33,,,,,,,,,48.1,31.5,,,,,,
905,Yasumura et al. (2005),79,Japan,Hakkoda Mountains,Aomori Prefecture,Shade,40.6,140.9,C,,Magnolia salicifolia,Magnoliaceae,Tree (deciduous),,4.5,1500,800,,,2.73,1.33,,,,,,,,,22.3,15.8,,,,,,
25,Yuan & Chen (2009ab),80,Argentina,,,San Ramon,-41.2,-71.2,C,,Austrocedrus chilensis,Cupressaceae,Conifers,Picked from the plant or recently fallen,14,540,115,,,1.6,1.02,,,,,,,,,,,,,,,,
26,Yuan & Chen (2009ab),80,Argentina,,,El Bolson,-42,-71.5,C,,Austrocedrus chilensis,Cupressaceae,Conifers,Picked from the plant or recently fallen,14,1000,115,,,1.6,1.02,,,,,,,,,,,,,,,,
27,Yuan & Chen (2009ab),80,Argentina,,,Los Cipreses,-42.8,-71.4,C,,Austrocedrus chilensis,Cupressaceae,Conifers,Picked from the plant or recently fallen,14,1100,115,,,1.62,1.02,,,,,,,,,,,,,,,,
28,Yuan & Chen (2009ab),80,Argentina,,,Mascardi,-41.3,-71.5,C,,Austrocedrus chilensis,Cupressaceae,Conifers,Picked from the plant or recently fallen,14,1400,115,,,1.5,1.1,,,,,,,,,,,,,,,,
29,Yuan & Chen (2009ab),80,Argentina,Patagonia,Puerto Madryn,,-42.7,-65.4,C,,Junellia seriphioides,Verbenaceae,Tree (evergreen),Picked from the plant or recently fallen,13.7,188,115,,,1.47,0.88,,,,,,,,,,,,,,,,
30,Yuan & Chen (2009ab),80,Argentina,Andean-Patagonian,,,-40,-71.5,C,,Maytenus boaria,Celastraceae,Tree (evergreen),Picked from the plant or recently fallen,11,1500,100,,,1.5,0.5,,,,,,,,,,,,,,,,
31,Yuan & Chen (2009ab),80,Argentina,Andean-Patagonian,,,-40,-71.5,C,,Nothofagus antarctica,Nothofagaceae,Tree (deciduous),Picked from the plant or recently fallen,11,1500,100,,,2.2,0.7,,,,,,,,,,,,,,,,
32,Yuan & Chen (2009ab),80,Argentina,Andean-Patagonian,,,-40,-71.5,C,,Nothofagus nervosa ,Nothofagaceae,Tree (deciduous),Picked from the plant or recently fallen,11,1500,100,,,2.25,0.75,,,,,,,,,,,,,,,,
33,Yuan & Chen (2009ab),80,Argentina,Andean-Patagonian,,,-40,-71.5,C,,Nothofagus obliqua,Nothofagaceae,Tree (deciduous),Picked from the plant or recently fallen,11,1500,100,,,2.55,0.8,,,,,,,,,,,,,,,,
34,Yuan & Chen (2009ab),80,Argentina,Andean-Patagonian,,,-40,-71.5,C,,Nothofagus pumilio ,Nothofagaceae,Tree (deciduous),Picked from the plant or recently fallen,11,1500,100,,,2.4,0.5,,,,,,,,,,,,,,,,
59,Yuan & Chen (2009ab),80,Australia,,,,-36,146,C,,Eucalyptus regnans,Myrtaceae,Tree (evergreen),Picked from the plant or recently fallen,14,500,125,,,1.19,0.67,,,,,,,,,,,,,,,,
60,Yuan & Chen (2009ab),80,Australia,,,,-36,146,C,,Eucalyptus regnans,Myrtaceae,Tree (evergreen),Picked from the plant or recently fallen,14,500,125,,,1.33,0.73,,,,,,,,,,,,,,,,
61,Yuan & Chen (2009ab),80,Australia,,,,-36,146,C,,Eucalyptus regnans,Myrtaceae,Tree (evergreen),Picked from the plant or recently fallen,14,500,125,,,1.41,0.74,,,,,,,,,,,,,,,,
62,Yuan & Chen (2009ab),80,Australia,,,,-36,146,C,,Eucalyptus regnans,Myrtaceae,Tree (evergreen),Picked from the plant or recently fallen,14,500,125,,,1.46,0.79,,,,,,,,,,,,,,,,
63,Yuan & Chen (2009ab),80,Australia,,,,-36,146,C,,Eucalyptus regnans,Myrtaceae,Tree (evergreen),Picked from the plant or recently fallen,14,500,125,,,1.59,0.79,,,,,,,,,,,,,,,,
64,Yuan & Chen (2009ab),80,Australia,,,,-36,146,C,,Eucalyptus regnans,Myrtaceae,Tree (evergreen),Picked from the plant or recently fallen,14,500,125,,,1.66,0.83,,,,,,,,,,,,,,,,
65,Yuan & Chen (2009ab),80,Australia,,,,-36,146,C,,Eucalyptus regnans,Myrtaceae,Tree (evergreen),Picked from the plant or recently fallen,14,500,125,,,1.64,0.88,,,,,,,,,,,,,,,,
95,Yuan & Chen (2009ab),80,Brazil,AC,Nova California,,-10,-67,A,,Bactris Gaesipaes,Arecaceae,Tree (evergreen),Picked from the plant or recently fallen,26,2000,170,,,2.55,1.31,0.13,0.07,,,0.51,0.91,,,,,,,,,,
96,Yuan & Chen (2009ab),80,Brazil,AC,Nova California,,-10,-67,A,,Bertholletia excelsa,Lecythidaceae,Tree (evergreen),Picked from the plant or recently fallen,26,2000,170,,,2.05,1.46,0.1,0.05,,,1.16,1.34,,,,,,,,,,
97,Yuan & Chen (2009ab),80,Brazil,AC,Nova California,,-10,-67,A,,Theobroma grandiflorum,Malvaceae,Tree (evergreen),Picked from the plant or recently fallen,26,2000,170,,,1.7,1.19,0.09,0.04,,,0.65,1.23,,,,,,,,,,
111,Yuan & Chen (2009ab),80,Cameroon,,,Korup National Park,5.3,9,A,,Klaineanthus gaboniae ,Euphorbiaceae,Tree (evergreen),Picked from the plant or recently fallen,26,5460,50,,,2.35,1.62,,,,,,,,,,,,,,,,
131,Yuan & Chen (2009ab),80,Canada,Ontario,,,46.7,-83.7,D,,Picea glauca,Pinaceae,Conifers,Picked from the plant or recently fallen,4.5,868,150,,,1.38,0.85,0.13,0.06,0.71,0.25,0.66,1.17,0.1,0.07,,,,,,,,
132,Yuan & Chen (2009ab),80,Canada,Ontario,,,46.5,-81.3,D,,Picea mariana,Pinaceae,Conifers,Picked from the plant or recently fallen,8.8,863,150,,,1.24,0.7,0.14,0.04,0.67,0.11,0.43,0.84,0.09,0.05,,,,,,,,
133,Yuan & Chen (2009ab),80,Canada,Ontario,,,45.3,-78.2,D,,Picea rubens ,Pinaceae,Conifers,Picked from the plant or recently fallen,5.4,1000,150,,,1.32,0.56,0.13,0.03,0.82,0.09,0.38,0.73,0.08,0.06,,,,,,,,
134,Yuan & Chen (2009ab),80,Canada,,,,65.8,-111.9,E,,Populus tremuloides,Salicaceae,Tree (deciduous),Picked from the plant or recently fallen,2.6,483,150,,,2.01,1.11,,,,,,,,,,,,,,,,
298,Yuan & Chen (2009ab),80,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,C,,Akebia trifoliata ,Lardizabalaceae,Tree (deciduous),Picked from the plant or recently fallen,20.5,1379,1500,,,1.81,1.12,,,,,,,,,,,,,,,,
299,Yuan & Chen (2009ab),80,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,C,,Alseodaphne petiolaris ,Lauraceae,Tree (evergreen),Picked from the plant or recently fallen,20.5,1379,1500,,,1.78,0.74,,,,,,,,,,,,,,,,
300,Yuan & Chen (2009ab),80,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,C,,Hovenia acerba ,Rhamnaceae,Tree (deciduous),Picked from the plant or recently fallen,20.5,1379,1500,,,3.72,1.62,,,,,,,,,,,,,,,,
301,Yuan & Chen (2009ab),80,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,C,,Melodinus henryi ,Apocynaceae,Tree (evergreen) Liana,Picked from the plant or recently fallen,20.5,1379,1500,,,2.97,1.24,,,,,,,,,,,,,,,,
302,Yuan & Chen (2009ab),80,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,C,,Melodinus suaveolens,Apocynaceae,Tree (evergreen) Liana,Picked from the plant or recently fallen,20.5,1379,1500,,,3.81,1.88,,,,,,,,,,,,,,,,
303,Yuan & Chen (2009ab),80,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,C,,Michelia floribunda ,Magnoliaceae ,Tree (evergreen),Picked from the plant or recently fallen,20.5,1379,1500,,,2,0.83,,,,,,,,,,,,,,,,
304,Yuan & Chen (2009ab),80,China,Mongolia,Duolun,Shifting sandland,42.5,116.7,D,,Salix gordejevii,Salicaceae,Tree (deciduous),Picked from the plant or recently fallen,3.3,401,1200,,,0.71,0.32,,,,,,,,,,,,,,,,
305,Yuan & Chen (2009ab),80,China,Mongolia,Duolun,Fixed sandland,42.5,116.7,D,,Salix gordejevii,Salicaceae,Tree (deciduous),Picked from the plant or recently fallen,3.3,401,1200,,,0.85,0.46,,,,,,,,,,,,,,,,
306,Yuan & Chen (2009ab),80,China,Mongolia,Duolun,Lowland,42.5,116.7,D,,Salix gordejevii,Salicaceae,Tree (deciduous),Picked from the plant or recently fallen,3.3,401,1200,,,1.07,0.61,,,,,,,,,,,,,,,,
307,Yuan & Chen (2009ab),80,China,Xishuangbanna,,,21.1,101.4,C,,Schima superba ,Theaceae,Tree (evergreen),Picked from the plant or recently fallen,22.9,1500,1500,,,2.35,1.33,,,,,,,,,,,,,,,,
308,Yuan & Chen (2009ab),80,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,C,,Smilax corbularia ,Smilacaceae,Tree (evergreen) Liana,Picked from the plant or recently fallen,20.5,1379,1500,,,2.11,1.02,,,,,,,,,,,,,,,,
309,Yuan & Chen (2009ab),80,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,C,,Smilax hypoglauca,Smilacaceae,Tree (evergreen) Liana,Picked from the plant or recently fallen,20.5,1379,1500,,,1.96,1.16,,,,,,,,,,,,,,,,
310,Yuan & Chen (2009ab),80,China,Mengsong,Xishuangbanna,Yunnan,21.5,100.4,C,,Smilax microphylla ,Smilacaceae,Tree (evergreen) Liana,Picked from the plant or recently fallen,20.5,1379,1500,,,2.63,1.62,,,,,,,,,,,,,,,,
334,Yuan & Chen (2009ab),80,Estonia,,,,58.5,28,D,,Pinus sylvestris,Pinaceae,Conifers,Picked from the plant or recently fallen,5,600,0,,,0.8,0.32,,,,,,,,,,,,,,,,
366,Yuan & Chen (2009ab),80,France,Marseille,La Roque d'Antheron Povince,,43.7,5.3,C,,Pinus halepensis,Pinaceae,Conifers,Picked from the plant or recently fallen,8,750,500,,,1.11,0.52,0.08,0.02,,,,,,,,,,,,,,
367,Yuan & Chen (2009ab),80,France,massif forestier des Aiguillettes,les Monts du Beaujolais,,46.5,4.6,C,,Pseudotsuga menziesii,Pinaceae,Conifers,Picked from the plant or recently fallen,7,1000,400,,,1.92,1.06,,,,,,,,,,,,,,,,
368,Yuan & Chen (2009ab),80,France,massif forestier des Aiguillettes,les Monts du Beaujolais,,46.5,4.6,C,,Pseudotsuga menziesii,Pinaceae,Conifers,Picked from the plant or recently fallen,7,1000,400,,,1.93,1.08,,,,,,,,,,,,,,,,
369,Yuan & Chen (2009ab),80,France,massif forestier des Aiguillettes,les Monts du Beaujolais,,46.5,4.6,C,,Pseudotsuga menziesii,Pinaceae,Conifers,Picked from the plant or recently fallen,7,1000,400,,,2.68,1.45,,,,,,,,,,,,,,,,
466,Yuan & Chen (2009ab),80,Italy,,,,41.1,14.6,C,,Fagus sylvatica,Fagaceae,Tree (deciduous),Picked from the plant or recently fallen,7.9,2166,700,,,2.71,1.68,0.18,0.1,,,,,,,,,,,,,,
467,Yuan & Chen (2009ab),80,Italy,Province of Belluno,,,46.4,11.8,D,,Vaccinium myrtillus,Ericaceae,Tree (deciduous),Picked from the plant or recently fallen,5,1200,1000,,,3.28,1.28,,,,,,,,,,,,,,,,
468,Yuan & Chen (2009ab),80,Italy,Province of Belluno,,,46.4,11.8,D,,Vaccinium vitis-idaea,Ericaceae,Tree (evergreen),Picked from the plant or recently fallen,5,1200,1000,,,2.25,0.99,,,,,,,,,,,,,,,,
474,Yuan & Chen (2009ab),80,Japan,Okinawa Island,,,26.8,128.2,C,,Castanopsis sieboldii,Fagaceae,Tree (evergreen),Picked from the plant or recently fallen,22.3,2827,0,,,1.23,1.06,,,,,,,,,,,,,,,,
475,Yuan & Chen (2009ab),80,Japan,Hakkoda Mountains,,,40.6,140.9,C,,Fagus crenata,Fagaceae,Tree (deciduous),Picked from the plant or recently fallen,4.6,1650,700,,,2.28,0.85,,,,,,,,,,,,,,,,
476,Yuan & Chen (2009ab),80,Japan,Hakkoda Mountains,Aomori,,40.6,140.9,C,,Fagus crenata,Fagaceae,Tree (deciduous),Picked from the plant or recently fallen,4.8,1300,700,,,2.28,0.83,,,,,,,,,,,,,,,,
477,Yuan & Chen (2009ab),80,Japan,Hakkoda Mountains,,,40.6,140.9,C,,Lindera umbellata,Lauraceae,Tree (deciduous),Picked from the plant or recently fallen,4.6,1650,700,,,3.48,1.7,,,,,,,,,,,,,,,,
478,Yuan & Chen (2009ab),80,Japan,Hakkoda Mountains,Aomori,,40.6,140.9,C,,Lindera umbellata,Lauraceae,Tree (deciduous),Picked from the plant or recently fallen,4.8,1300,700,,,2.32,0.98,,,,,,,,,,,,,,,,
479,Yuan & Chen (2009ab),80,Japan,Hakkoda Mountains,,,40.6,140.9,C,,Magnolia salicifolia,Magnoliaceae,Tree (deciduous),Picked from the plant or recently fallen,4.6,1650,700,,,3.24,1.39,,,,,,,,,,,,,,,,
480,Yuan & Chen (2009ab),80,Japan,Hakkoda Mountains,Aomori,,40.6,140.9,C,,Magnolia salicifolia,Magnoliaceae,Tree (deciduous),Picked from the plant or recently fallen,4.8,1300,700,,,2.32,1.33,,,,,,,,,,,,,,,,
481,Yuan & Chen (2009ab),80,Japan,Mt Mikasa,Nata,,34.7,135.9,C,,Neolitsea aciculata,Lauraceae,Tree (evergreen),Picked from the plant or recently fallen,14.4,1355,700,,,1.7,1.1,,,,,,,,,,,,,,,,
482,Yuan & Chen (2009ab),80,Japan,Okinawa Island,,,26.8,128.2,C,,Schima wallichii,Theaceae,Tree (evergreen),Picked from the plant or recently fallen,22.3,2827,0,,,1.33,1.16,,,,,,,,,,,,,,,,
499,Yuan & Chen (2009ab),80,Mexico,Jalisco,,Estacion de Biologia Chamela,19.5,-105,A,,Cordia alliodora ,Boraginaceae,Tree (deciduous),Picked from the plant or recently fallen,24.9,798,500,,,1.69,0.98,,,,,,,,,,,,,,,,
500,Yuan & Chen (2009ab),80,Mexico,Jalisco,,Estacion de Biologia Chamela,19.5,-105,A,,Guapira macrocarpa ,Nyctaginaceae,Tree (deciduous),Picked from the plant or recently fallen,24.9,798,500,,,2.15,1.21,,,,,,,,,,,,,,,,
533,Yuan & Chen (2009ab),80,USA,Alaska,,Lake Minchumina,63.9,-152.3,D,,Betula papyrifera,Betulaceae,Tree (deciduous),Picked from the plant or recently fallen,2.6,483,200,,,2.2,0.7,,,,,,,,,,,,,,,,
537,Yuan & Chen (2009ab),80,South Africa,,,,-33.9,23,C,,Pinus elliotii,Pinaceae,Conifers,Picked from the plant or recently fallen,14,1113,,,,1.05,0.7,,,,,,,,,,,,,,,,
572,Yuan & Chen (2009ab),80,Spain,,,,37.2,-2.6,C,,Cistus laurifolius,Cistaceae,Tree (evergreen),Picked from the plant or recently fallen,11,700,1500,,,1.37,0.4,,,,,,,,,,,,,,,,
573,Yuan & Chen (2009ab),80,Spain,Sierra de la Demanda mountains,,,42.3,-4.2,C,,Pinus sylvestris,Pinaceae,Conifers,Picked from the plant or recently fallen,12.4,895,790,,,1.25,0.8,,,,,,,,,,,,,,,,
574,Yuan & Chen (2009ab),80,Spain,University of Vigo,,,42.2,-8.7,C,,Quercus robur,Fagaceae,Tree (deciduous),Picked from the plant or recently fallen,15,1800,435,,,2.15,1.55,,,,,,,,,,,,,,,,
